TILE,DTOP,DBTM,READ,X,Y,BPP,NBYTES,F,IMGBYTES,ID
00,0,282,22,1,1,24,3,1,3,70E8D2F148
00,0,24826,22,32,24,24,2304,2,2304,70E108A68E9
00,0,283130,22,130,68,8,8840,3,8840,70E112BE9B5
00,0,320253,22,100,100,8,10000,4,10000,70E14C62895
00,0,384250,22,120,100,8,12000,5,12000,70E18581ECD
00,0,382970,22,130,92,8,11960,6,11960,70E1CA58D89
01,0,393471,22,128,96,8,12288,7,12288,70E8D2F089
00,0,393466,22,128,96,8,12288,7,12288,70E218375E9
00,0,387455,22,110,110,8,12100,8,12100,70E267F9325
00,0,390014,22,140,87,8,12180,9,14700,70E2AF03479
01,0,390013,22,140,87,8,12180,9,14700,70E267969B2
01,0,393082,22,124,99,8,12276,10,15376,70E2FDC7322
00,0,393082,22,124,99,8,12276,10,15376,70E2FBEB0F5
01,0,393466,22,128,96,8,12288,11,16384,70E343C60D6
00,0,393466,22,128,96,8,12288,11,16384,70E34463741
00,0,391930,22,120,102,8,12240,12,18720,70E38AB0821
01,0,391930,22,120,102,8,12240,12,18720,70E38A96A0A
01,0,390655,22,100,122,8,12200,13,21300,70E3D3DD0C6
00,0,390653,22,100,122,8,12200,13,21300,70E3D13BF49
01,0,391327,22,101,121,8,12221,14,21715,70E41FADE72
00,0,391327,22,101,121,8,12221,14,21715,70E41FAAF49
01,0,391936,22,102,120,8,12240,15,22134,70E46BA6DDA
00,0,391935,22,102,120,8,12240,15,22134,70E46BAC3A5
01,0,392477,22,103,119,8,12257,16,22557,70E4B79D53E
00,0,392474,22,103,119,8,12257,16,22557,70E4B7A9B7D
00,0,393375,22,195,63,8,12285,17,28665,70E503CD4A1
02,0,393370,22,195,63,8,12285,17,28665,70E8D2F08D
01,0,393370,22,195,63,8,12285,17,28665,70E503928F6
02,0,128250,22,100,40,24,12000,18,30000,70E54DE0B9A
01,0,128250,22,100,40,24,12000,18,30000,70E54F3BE66
00,0,128250,22,100,40,24,12000,18,30000,70E54DBD7C1
00,0,129213,22,130,31,24,12090,19,35880,70E5812C165
01,0,129210,22,130,31,24,12090,19,35880,70E580EB4D2
02,0,129210,22,130,31,24,12090,19,35880,70E580CA712
00,0,129210,22,130,31,24,12090,19,35880,70E5B580579
00,0,128250,22,100,40,24,12000,20,39000,70E5E98C921
01,0,128250,22,100,40,24,12000,20,39000,70E5B5D9C76
02,0,128250,22,100,40,24,12000,20,39000,70E5B5DF10E
00,0,128250,22,100,40,24,12000,20,39000,70E61B55BD1
00,0,389117,22,196,62,8,12152,21,38416,70E64F296D9
01,0,389119,22,196,62,8,12152,21,38416,70E61BBC29E
02,0,389114,22,196,62,8,12152,21,38416,70E61C4FAAA
00,0,389114,22,196,62,8,12152,21,38416,70E694EC85D
00,0,391101,22,197,62,8,12214,22,38809,70E6DADAB55
01,0,391098,22,197,62,8,12214,22,38809,70E695A820E
02,0,391098,22,197,62,8,12214,22,38809,70E6966198E
00,0,391101,22,197,62,8,12214,22,38809,70E72138BCD
02,0,131194,22,124,33,24,12276,23,46128,70E722AE7C2
00,0,131194,22,124,33,24,12276,23,46128,70E767770B5
01,0,131194,22,124,33,24,12276,23,46128,70E721F0476
00,0,131194,22,124,33,24,12276,23,46128,70E79A59D75
01,0,131194,22,124,33,24,12276,23,46128,70E79AA7A0A
00,0,130810,22,120,34,24,12240,24,56160,70E7CC90F91
01,0,130810,22,120,34,24,12240,24,56160,70E7CD0C0C6
02,0,130810,22,120,34,24,12240,24,56160,70E79A1C7CE
00,0,130810,22,120,34,24,12240,24,56160,70E7FF90519
01,0,130810,22,120,34,24,12240,24,56160,70E7FFFBE16
02,0,130810,22,120,34,24,12240,24,56160,70E800344AE
00,0,389370,22,320,38,8,12160,25,76800,70E8322B311
01,0,389370,22,320,38,8,12160,25,76800,70E834CE426
02,0,389373,22,320,38,8,12160,25,76800,70E8351034A
00,0,389370,22,320,38,8,12160,25,76800,70E87EEC761
01,0,389370,22,320,38,8,12160,25,76800,70E87FF719E
02,0,389370,22,320,38,8,12160,25,76800,70E8829DB8A
00,0,389370,22,320,38,8,12160,25,76800,70E8CCEE8C5
00,0,126586,22,188,21,24,11844,26,79524,70E91A27E6D
01,0,126591,22,188,21,24,11844,26,79524,70E8CDCB49E
02,0,126586,22,188,21,24,11844,26,79524,70E8CFDF956
00,0,126591,22,188,21,24,11844,26,79524,70E94B4D729
01,0,126586,22,188,21,24,11844,26,79524,70E94C67E7A
02,0,126586,22,188,21,24,11844,26,79524,70E94E0C086
00,0,126586,22,188,21,24,11844,26,79524,70E97E75115
01,0,126589,22,188,21,24,11844,26,79524,70E97F94FCE
02,0,126586,22,188,21,24,11844,26,79524,70E9810B486
01,0,128250,22,160,25,24,12000,27,88800,70E9B274D56
02,0,128250,22,160,25,24,12000,27,88800,70E9B3EB66A
00,0,128250,22,160,25,24,12000,27,88800,70E9B185779
01,0,128255,22,160,25,24,12000,27,88800,70E9E861B46
02,0,128254,22,160,25,24,12000,27,88800,70E9E865BB2
00,0,128250,22,160,25,24,12000,27,88800,70E9E8679D1
01,0,128250,22,160,25,24,12000,27,88800,70EA1C3A36A
02,0,128250,22,160,25,24,12000,27,88800,70EA1C3AAA2
00,0,128250,22,160,25,24,12000,27,88800,70EA1C65A41
01,0,130810,22,240,17,24,12240,28,90720,70EA4FED702
02,0,130810,22,240,17,24,12240,28,90720,70EA4FFB0FA
00,0,130810,22,240,17,24,12240,28,90720,70EA5049049
01,0,130810,22,240,17,24,12240,28,90720,70EA855486A
