SEC,NSEC,X,Y,BPP
0,348394,1,1,24
0,249229011,32,24,24
1,374576363,130,68,8
1,483571434,100,100,8
1,772743117,120,100,8
2,29921292,130,92,8
2,55213200,128,96,8
1,441459298,110,110,24
1,496436109,140,105,8
1,84615116,124,124,8
1,101392147,128,128,8
1,811218227,120,156,8
1,925361259,100,213,8
1,948676421,101,215,8
1,975944443,102,217,8
1,974275362,103,219,8
1,928180396,195,147,8
1,285058165,100,100,24
2,652541766,130,92,24
2,649441417,100,130,24
3,648645312,196,196,8
3,579945281,197,197,8
2,620143881,124,124,24
2,704363007,120,156,24
5,951251683,320,240,8
3,793689060,188,141,24
4,507716,160,185,24
5,486922262,240,126,24
5,948398547,415,218,8
6,332059165,200,200,24
11,550954564,300,225,8
33,923426848,400,462,24
