TILE,DTOP,DBTM,READ,X,Y,BPP,NBYTES,IMGBYTES,ID
00,0,12288,22,1,1,24,3,1,3,70E8D2F148
00,0,10166152,22,32,24,24,2304,2,2304,70E108A68E9
00,0,58938179,22,130,68,8,8840,3,8840,70E112BE9B5
00,0,58324828,22,100,100,8,10000,4,10000,70E14C62895
00,0,70353365,22,120,100,8,12000,5,12000,70E18581ECD
00,0,79796455,22,130,92,8,11960,6,11960,70E1CA58D89
01,0,81262721,22,128,96,8,12288,7,12288,70E8D2F089
00,0,81706322,22,128,96,8,12288,7,12288,70E218375E9
00,0,72706635,22,110,110,8,12100,8,12100,70E267F9325
00,0,78793014,22,140,87,8,12180,9,14700,70E2AF03479
01,0,80687270,22,140,87,8,12180,9,14700,70E267969B2
01,0,71528836,22,124,99,8,12276,10,15376,70E2FDC7322
00,0,72203863,22,124,99,8,12276,10,15376,70E2FBEB0F5
01,0,71676406,22,128,96,8,12288,11,16384,70E343C60D6
00,0,71823565,22,128,96,8,12288,11,16384,70E34463741
00,0,72077299,22,120,102,8,12240,12,18720,70E38AB0821
01,0,74766885,22,120,102,8,12240,12,18720,70E38A96A0A
00,0,77524453,22,100,122,8,12200,13,21300,70E3D13BF49
01,0,77505292,22,100,122,8,12200,13,21300,70E3D3DD0C6
01,0,77612912,22,101,121,8,12221,14,21715,70E41FADE72
00,0,77676120,22,101,121,8,12221,14,21715,70E41FAAF49
01,0,77650024,22,102,120,8,12240,15,22134,70E46BA6DDA
00,0,77742186,22,102,120,8,12240,15,22134,70E46BAC3A5
01,0,77598411,22,103,119,8,12257,16,22557,70E4B79D53E
00,0,77879622,22,103,119,8,12257,16,22557,70E4B7A9B7D
00,0,75517685,22,195,63,8,12285,17,28665,70E503CD4A1
02,0,75586125,22,195,63,8,12285,17,28665,70E8D2F08D
01,0,77034395,22,195,63,8,12285,17,28665,70E503928F6
02,0,50334573,22,100,40,24,12000,18,30000,70E54DE0B9A
01,0,50509770,22,100,40,24,12000,18,30000,70E54F3BE66
00,0,50815261,22,100,40,24,12000,18,30000,70E54DBD7C1
00,0,53452193,22,130,31,24,12090,19,35880,70E5812C165
01,0,53777651,22,130,31,24,12090,19,35880,70E580EB4D2
02,0,53758260,22,130,31,24,12090,19,35880,70E580CA712
00,0,53485419,22,130,31,24,12090,19,35880,70E5B580579
00,0,50805192,22,100,40,24,12000,20,39000,70E5E98C921
01,0,51175456,22,100,40,24,12000,20,39000,70E5B5D9C76
02,0,51738668,22,100,40,24,12000,20,39000,70E5B5DF10E
00,0,53257675,22,100,40,24,12000,20,39000,70E61B55BD1
00,0,71342178,22,196,62,8,12152,21,38416,70E64F296D9
01,0,72059525,22,196,62,8,12152,21,38416,70E61BBC29E
02,0,72777742,22,196,62,8,12152,21,38416,70E61C4FAAA
00,0,71804759,22,196,62,8,12152,21,38416,70E694EC85D
00,0,71708917,22,197,62,8,12214,22,38809,70E6DADAB55
01,0,72420164,22,197,62,8,12214,22,38809,70E695A820E
02,0,73148817,22,197,62,8,12214,22,38809,70E6966198E
00,0,72128943,22,197,62,8,12214,22,38809,70E72138BCD
02,0,51347181,22,124,33,24,12276,23,46128,70E722AE7C2
00,0,51672627,22,124,33,24,12276,23,46128,70E767770B5
01,0,51949795,22,124,33,24,12276,23,46128,70E721F0476
00,0,51574101,22,124,33,24,12276,23,46128,70E79A59D75
01,0,51759788,22,124,33,24,12276,23,46128,70E79AA7A0A
00,0,51479436,22,120,34,24,12240,24,56160,70E7CC90F91
