DTOP,DBTM,READ,X,Y,BPP,NBYTES,F
0,2219,23,1,1,8,1,0
0,1609778,23,32,24,8,768,1
0,21212600,23,130,68,8,8840,2
0,29094482,23,128,96,8,12288,6
0,15619275,23,100,100,8,10000,17
0,46144769,23,100,213,8,21300,12
0,32962219,23,120,156,8,18720,11
0,26317143,23,124,124,8,15376,22
0,28855425,23,128,128,8,16384,10
0,26003841,23,124,124,8,15376,9
0,23820141,23,100,130,8,13000,19
0,32997017,23,140,105,8,14700,8
0,20836066,23,110,110,8,12100,7
0,29384429,23,130,92,8,11960,5
0,29103827,23,130,92,8,11960,18
0,19026177,23,120,100,8,12000,4
0,15447303,23,100,100,8,10000,3
